Id,Channel,Subscribers,Title,CC,URL,Released,Views,Category
s86-Z-CbaHA,Vsauce,17.4M subscribers,The Banach–Tarski Paradox,1,https://www.youtube.com/watch?v=s86-Z-CbaHA,6 years ago,36M views,Science
jHbyQ_AQP8c,Vsauce,17.4M subscribers,What If Everyone JUMPED At Once?,1,https://www.youtube.com/watch?v=jHbyQ_AQP8c,9 years ago,35M views,Science
VNqNnUJVcVs,Vsauce,17.4M subscribers,Is Earth Actually Flat?,1,https://www.youtube.com/watch?v=VNqNnUJVcVs,7 years ago,31M views,Science
3pAnRKD4raY,Vsauce,17.4M subscribers,Travel INSIDE a Black Hole,1,https://www.youtube.com/watch?v=3pAnRKD4raY,9 years ago,30M views,Science
7uiv6tKtoKg,Vsauce,17.4M subscribers,What Will We Miss?,1,https://www.youtube.com/watch?v=7uiv6tKtoKg,8 years ago,28M views,Science
ixQbCXLUUj8,Vsauce,17.4M subscribers,Why Do We Kiss?,1,https://www.youtube.com/watch?v=ixQbCXLUUj8,8 years ago,26M views,Science
GJ4Qp2xeRds,Vsauce,17.4M subscribers,How High Can We Build?,1,https://www.youtube.com/watch?v=GJ4Qp2xeRds,9 years ago,26M views,Science
evQsOFQju08,Vsauce,17.4M subscribers,Is Your Red The Same as My Red?,1,https://www.youtube.com/watch?v=evQsOFQju08,8 years ago,25M views,Science
IJhgZBn-LHg,Vsauce,17.4M subscribers,How Earth Moves,0,https://www.youtube.com/watch?v=IJhgZBn-LHg,5 years ago,25M views,Science
sHCHEykUxP4,Vsauce,17.4M subscribers,Spooky Coincidences?,1,https://www.youtube.com/watch?v=sHCHEykUxP4,7 years ago,25M views,Science
Xc4xYacTu-E,Vsauce,17.4M subscribers,Which Way Is Down?,1,https://www.youtube.com/watch?v=Xc4xYacTu-E,4 years ago,24M views,Science
fCn8zs912OE,Vsauce,17.4M subscribers,The Zipf Mystery,1,https://www.youtube.com/watch?v=fCn8zs912OE,6 years ago,22M views,Science
1T4XMNN4bNM,Vsauce,17.4M subscribers,What's The Most Dangerous Place on Earth?,1,https://www.youtube.com/watch?v=1T4XMNN4bNM,9 years ago,21M views,Science
GDrBIKOR01c,Vsauce,17.4M subscribers,Messages For The Future,1,https://www.youtube.com/watch?v=GDrBIKOR01c,6 years ago,21M views,Science
R3unPcJDbCc,Vsauce,17.4M subscribers,This Is Not Yellow,1,https://www.youtube.com/watch?v=R3unPcJDbCc,9 years ago,21M views,Science
PEikGKDVsCc,Vsauce,17.4M subscribers,Why Are Things Creepy?,1,https://www.youtube.com/watch?v=PEikGKDVsCc,8 years ago,20M views,Science
JTvcpdfGUtQ,Vsauce,17.4M subscribers,What Is The Speed of Dark?,1,https://www.youtube.com/watch?v=JTvcpdfGUtQ,7 years ago,19M views,Science
hYf6av21x5c,Vsauce,17.4M subscribers,Guns in Space,1,https://www.youtube.com/watch?v=hYf6av21x5c,9 years ago,19M views,Science
SrU9YDoXE88,Vsauce,17.4M subscribers,How To Count Past Infinity,0,https://www.youtube.com/watch?v=SrU9YDoXE88,5 years ago,19M views,Science
K0-GxoJ_Pcg,Vsauce,17.4M subscribers,What If The Earth Stopped Spinning?,1,https://www.youtube.com/watch?v=K0-GxoJ_Pcg,7 years ago,19M views,Science
4fuHzC9aTik,Vsauce,17.4M subscribers,How Hot Can It Get?,1,https://www.youtube.com/watch?v=4fuHzC9aTik,9 years ago,18M views,Science
Dd7dQh8u4Hc,Vsauce,17.4M subscribers,Why Are Bad Words Bad?,1,https://www.youtube.com/watch?v=Dd7dQh8u4Hc,8 years ago,18M views,Science
rltpH6ck2Kc,Vsauce,17.4M subscribers,What If The Sun Disappeared?,1,https://www.youtube.com/watch?v=rltpH6ck2Kc,8 years ago,18M views,Science
DkzQxw16G9w,Vsauce,17.4M subscribers,How Big Can a Person Get?,1,https://www.youtube.com/watch?v=DkzQxw16G9w,8 years ago,18M views,Science
CPBJgpK0Ulc,Vsauce,17.4M subscribers,How People Disappear,1,https://www.youtube.com/watch?v=CPBJgpK0Ulc,8 years ago,17M views,Science
L45Q1_psDqk,Vsauce,17.4M subscribers,Is Anything Real?,1,https://www.youtube.com/watch?v=L45Q1_psDqk,8 years ago,17M views,Science
uxPdPpi5W4o,Veritasium,11.4M subscribers,"Why Are 96,000,000 Black Balls on This Reservoir?",1,https://www.youtube.com/watch?v=uxPdPpi5W4o,2 years ago,81M views,Science
4Wrc4fHSCpw,Veritasium,11.4M subscribers,These are the asteroids to worry about,1,https://www.youtube.com/watch?v=4Wrc4fHSCpw,,68M views,Science
AeJ9q45PfD0,Veritasium,11.4M subscribers,World's Lightest Solid!,1,https://www.youtube.com/watch?v=AeJ9q45PfD0,2 years ago,51M views,Science
2OSrvzNW9FE,Veritasium,11.4M subscribers,Backspin Basketball Flies Off Dam,1,https://www.youtube.com/watch?v=2OSrvzNW9FE,6 years ago,49M views,Science
ZMByI4s-D-Y,Veritasium,11.4M subscribers,World's Roundest Object!,1,https://www.youtube.com/watch?v=ZMByI4s-D-Y,8 years ago,35M views,Science
GcdB5bFwio4,Veritasium,11.4M subscribers,I Waterproofed Myself With Aerogel!,1,https://www.youtube.com/watch?v=GcdB5bFwio4,2 years ago,35M views,Science
GeyDf4ooPdo,Veritasium,11.4M subscribers,Anti-Gravity Wheel?,1,https://www.youtube.com/watch?v=GeyDf4ooPdo,7 years ago,32M views,Science
mXVGIb3bzHI,Veritasium,11.4M subscribers,Can Silence Actually Drive You Crazy?,1,https://www.youtube.com/watch?v=mXVGIb3bzHI,7 years ago,30M views,Science
BZbChKzedEk,Veritasium,11.4M subscribers,Can You Swim in Shade Balls?,1,https://www.youtube.com/watch?v=BZbChKzedEk,2 years ago,26M views,Science
k5s1cMNTmGs,Veritasium,11.4M subscribers,How a slinky falls in slow motion #shorts,1,https://www.youtube.com/watch?v=k5s1cMNTmGs,6 months ago,23M views,Science
qevIIQHrJZg,Veritasium,11.4M subscribers,This Unstoppable Robot Could Save Your Life,1,https://www.youtube.com/watch?v=qevIIQHrJZg,9 months ago,23M views,Science
094y1Z2wpJg,Veritasium,11.4M subscribers,The Simplest Math Problem No One Can Solve - Collatz Conjecture,1,https://www.youtube.com/watch?v=094y1Z2wpJg,6 months ago,21M views,Science
TRL7o2kPqw0,Veritasium,11.4M subscribers,The Most Radioactive Places on Earth,1,https://www.youtube.com/watch?v=TRL7o2kPqw0,7 years ago,20M views,Science
kTXTPe3wahc,Veritasium,11.4M subscribers,Parallel Worlds Probably Exist. Here’s Why,0,https://www.youtube.com/watch?v=kTXTPe3wahc,,19M views,Science
_k9egfWvb7Y,Veritasium,11.4M subscribers,World's Heaviest Weight,1,https://www.youtube.com/watch?v=_k9egfWvb7Y,4 years ago,17M views,Science
wCrtk-pyP0I,Veritasium,11.4M subscribers,Microwaving Grapes Makes Plasma,1,https://www.youtube.com/watch?v=wCrtk-pyP0I,2 years ago,17M views,Science
HeQX2HjkcNo,Veritasium,11.4M subscribers,Math Has a Fatal Flaw,1,https://www.youtube.com/watch?v=HeQX2HjkcNo,8 months ago,16M views,Science
2awbKQ2DLRE,Veritasium,11.4M subscribers,Musical Fire Table!,1,https://www.youtube.com/watch?v=2awbKQ2DLRE,7 years ago,15M views,Science
t-_VPRCtiUg,Veritasium,11.4M subscribers,The Surprising Secret of Synchronization,1,https://www.youtube.com/watch?v=t-_VPRCtiUg,10 months ago,15M views,Science
j5v8D-alAKE,Veritasium,11.4M subscribers,This is why we can't have nice things,1,https://www.youtube.com/watch?v=j5v8D-alAKE,10 months ago,14M views,Science
